Station ID,Name,Type,OOS,Latitude,Longitude
4364,Flamingo Wash at Torrey Pines Dr.,Handar 585C,FALSE,36.102719,-115.234144
4369,Lower Flamingo DB,DAA H264,FALSE,36.102583,-115.208583
4374,Flamingo Wash at Eastern Ave.,DAA H264,FALSE,36.12295,-115.119014
4379,Van Buskirk DB,Handar 585A,FALSE,36.108356,-115.111364
4384,DI Super Arterial,HydroLynx 5096/A2,FALSE,36.130694,-115.164472
4389,Rio (Twain) Pump Site,HydroLynx 5096/A2,FALSE,36.119333,-115.181778
4394,Flamingo Wash at Nellis Blvd (USGS),USGS Waterdata,FALSE,36.142378,-115.065856
4395,Flamingo Wash East of Nellis,DAA H264,FALSE,36.141583,-115.053944
4399,Flamingo Wash at Mojave,HydroLynx 5096/A2,FALSE,36.133167,-115.103194
4404,F-1 Debris Basin,DAA H264,FALSE,36.097194,-115.338861
4409,F-2 Debris Basin,DAA H264,FALSE,36.079917,-115.328778
4414,Blue Diamond DB,Handar 585A,FALSE,36.031861,-115.316694
4419,F-4 Debris Basin,DAA H264,FALSE,36.044722,-115.299722
4424,F-1 Channel,Handar 585C,FALSE,36.087139,-115.305306
4429,Naples Channel,Handar 585C,FALSE,36.105639,-115.304028
4434,Beltway Channel at Buffalo,Handar 585C,FALSE,36.065917,-115.254028
4439,Blue Diamond Channel,DAA H264,FALSE,36.035,-115.281389
4444,R-4 DB,DAA H264,FALSE,36.112722,-115.353583
4449,R-4 Channel,Handar 585C,FALSE,36.1205,-115.331667
4454,Warm Springs at Jones,HydroLynx 5096/A2,FALSE,36.057028,-115.223333
4459,Lower Blue Diamond DB,DAA H264,FALSE,36.046667,-115.212222
4464,Hualapai at Maule (F-3) DB,DAA H264,FALSE,36.062222,-115.316806
4470,Tropicana DB South Bay,Handar 585A,FALSE,36.080986,115.200217
4474,Tropicana DB,Handar 585A,FALSE,36.081444,-115.199444
4479,Tropicana North Branch DB,DAA H264,FALSE,36.096111,-115.195556
